refactoring,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,\DATASET\abfiles\r9\c34\before\ColorMenuFragment.java,com.slidingmenu.example.fragments.ColorMenuFragment,class,12,14,2,12,13,2,0,9,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,2,0,0,0,5,10,0,5,1,0,0,0,37,1,0
0,\DATASET\abfiles\r9\c34\before\ResponsiveUIActivity.java,com.slidingmenu.example.fragments.ResponsiveUIActivity,class,12,16,4,12,10,2,0,30,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,57,1,0,4,0,0,2,4,7,0,5,1,1,0,0,81,1,0
0,\DATASET\abfiles\r9\c34\before\SampleListFragment.java,com.slidingmenu.example.SampleListFragment$SampleAdapter,innerclass,6,6,0,6,3,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,1,3,0,2,1,0,0,0,16,1,0
0,\DATASET\abfiles\r9\c34\before\CustomSlideAnimation.java,com.slidingmenu.example.anim.CustomSlideAnimation,class,3,4,1,3,1,4,0,0,0,1.0,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,2,0,0,7,1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous8,anonymous,1,1,0,1,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous7,anonymous,1,1,0,1,1,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
0,\DATASET\abfiles\r9\c34\before\BirdGridFragment.java,com.slidingmenu.example.fragments.BirdGridFragment$Anonymous1,anonymous,3,3,0,3,2,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,1,1,0,0,0,14,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous6,anonymous,1,1,0,1,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,2,2,2,0,0,0,0,16,-1,0
0,\DATASET\abfiles\r9\c34\before\ExampleListActivity.java,com.slidingmenu.example.ExampleListActivity,class,20,20,0,20,20,2,0,20,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,76,4,0,0,1,0,3,0,16,1,5,2,0,0,0,40,1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous5,anonymous,1,1,0,1,3,1,0,3,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
